Unnamed: 0,Name,Notes,Len_Sequence,Unique_notes,len_Uni_Notes
0,BreezeAndI.mid,"[1081, 1034, 1034, 1082, 1034, 1034, 1081, 1034, 1081, 1034, 1080, 1081, 1034, 1034, 1082, 1082, 1034, 1133, 1081, 1090, 1043, 1043, 1091, 1043, 1043, 1081, 1081, 1034, 1034, 1081, 1080, 1081, 1033, 1112, 1081, 1034, 1082, 1034, 1081, 1080, 1034, 1080, 1082, 1081, 1034, 1112, 1090, 1042, 1042, 1090, 1089, 1042, 1081, 1034, 1090, 1081, 1063, 1112, 1064, 1113, 1064, 1101, 1033, 1033, 1133, 1123, 1064, 1133, 1132, 1025, 1034, 1073, 1133, 1063, 1072, 1081, 1133, 1101, 1112, 1111, 1133, 1123, 1064, 1112, 1033, 1034, 1112, 1072, 1081, 1082, 1034, 1133, 1063, 1072, 1090, 1133, 1112, 1112, 1133, 1123]",427,"[1101, 1043, 1034, 1032, 1063, 1123, 1082, 1089, 1133, 1042, 1111, 1025, 1112, 1081, 1033, 1062, 1024, 1113, 1080, 1073, 1090, 1091, 1064, 1132, 1134, 1052, 1072, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",27
1,IfIHadYou.mid,"[241, 241, 417, 417, 71, 71, 188, 241, 991, 778, 126, 134, 241, 148, 181, 159, 241, 785, 236, 951, 236, 750, 785, 752, 785, 951, 752, 785, 752, 785, 951, 951, 752, 320, 320, 568, 660, 126, 241, 752, 785, 147, 752, 320, 320, 320, 968, 989, 950, 420, 950, 241, 241, 417, 417, 778, 785, 188, 241, 660, 475, 126, 241, 148, 500, 946, 148, 70, 241, 241, 417, 418, 778, 785, 188, 241, 148, 778, 126, 241, 241, 71, 78, 422, 422, 402, 833, 422, 422, 957, 1026, 422, 422, 402, 833, 422, 422, 422, 422, 778]",204,"[950, 181, 1026, 957, 469, 475, 320, 188, 417, 236, 418, 147, 71, 968, 148, 833, 134, 422, 70, 126, 159, 402, 241, 568, 750, 989, 778, 78, 946, 567, 500, 951, 991, 752, 785, 420, 660, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",37
2,IllBeSeeingYou.mid,"[1081, 1081, 1034, 1034, 1133, 1073, 1112, 1112, 1064, 1063, 1112, 1111, 1112, 1063, 1133, 1112, 1063, 1101, 1112, 1111, 1033, 1081, 1080, 1112, 1101, 1133, 1042, 1063, 1133, 1064, 1133, 1112, 1064, 1064, 1113, 1064, 1112, 1063, 1033, 1033, 1112, 1112, 1033, 1112, 1032, 1081, 1034, 1033, 1112, 1034, 1112, 1033, 1081, 1034, 1133, 1081, 1133, 1073, 1043, 1133, 1112, 1112, 1042, 1063, 1062, 1101, 1112, 1112, 1064, 1063, 1062, 1101, 1112, 1111, 1112, 1063, 1090, 1112, 1111, 1042, 1033, 1032, 1123, 1133, 1123, 1034, 1053, 1063, 1072, 1090, 1133, 1112, 1133, 1123, 1064, 1112, 1072, 1072, 1101, 1133]",455,"[1101, 1043, 1034, 1032, 1063, 1123, 1082, 1133, 1042, 1111, 1025, 1124, 1081, 1033, 1112, 1122, 1062, 1024, 1071, 1113, 1080, 1073, 1090, 1064, 1132, 1134, 1052, 1072, 1053, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",29
3,JustAGame.mid,"[1044, 676, 1042, 1092, 1042, 1103, 1042, 1135, 432, 1132, 1027, 593, 1024, 1135, 1024, 1103, 1024, 1135, 329, 1090, 1103, 1021, 1072, 1092, 771, 1063, 1044, 676, 1042, 1092, 1042, 1103, 1042, 1135, 432, 1132, 1027, 593, 1024, 1045, 1024, 1066, 1024, 1045, 1024, 1044, 676, 1042, 1042, 1092, 1042, 1103, 1042, 1135, 432, 1132, 1132, 1132, 1132, 1027, 593, 1024, 1024, 1135, 1024, 1103, 1024, 1135, 329, 1090, 1103, 1021, 1072, 1092, 771, 1063, 1044, 676, 1042, 1042, 1042, 1042, 1042, 1042, 1042, 1042, 1042, 1042, 1042, 1042, 1042, 1042, 1042, 1042, 1065, 771, 1063, 1063, 1063, 1063]",1572,"[1065, 1026, 1103, 1133, 1027, 1054, 1104, 1074, 771, 1090, 1064, 1021, 1075, 432, 1072, 1135, 511, 1093, 1043, 1063, 1092, 593, 1089, 1042, 1124, 1025, 1044, 1066, 676, 1055, 331, 329, 1024, 1073, 1091, 1045, 1136, 1134, 1132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",39
4,Unforgettable.mid,"[1133, 1132, 1133, 1132, 1133, 1133, 1133, 1053, 1133, 1132, 1053, 1063, 1063, 1063, 1062, 1063, 1063, 1024, 1133, 1063, 1063, 1024, 1112, 1063, 1101, 1112, 1112, 1090, 1089, 1090, 1024, 1090, 1081, 1052, 1072, 1025, 1072, 1081, 1080, 1072, 1025, 1025, 1072, 1071, 1025, 1133, 1072, 1073, 1072, 1133, 1123, 1133, 1133, 1073, 1133, 1101, 1133, 1025, 1034, 1053, 1134, 1053, 1034, 1133, 1063, 1062, 1063, 1063, 1063, 1063, 1063, 1063, 1063, 1122, 1024, 1023, 1123, 1133, 1072, 1073, 1072, 1063, 1063, 1062, 1025, 1090, 1112, 1112, 1133, 1025, 1064, 1112, 1101, 1112, 1112, 1091, 1133, 1090, 1073, 1024]",421,"[1101, 1043, 1034, 1063, 1123, 1089, 1133, 1042, 1111, 1025, 1112, 1081, 1122, 1062, 1024, 1071, 1113, 1080, 1073, 1090, 1023, 1091, 1064, 1132, 1134, 1052, 1072, 1053, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",28
6,GhostOfaChance.mid,"[1133, 1073, 1133, 1090, 1089, 1090, 1024, 1090, 1112, 1033, 1063, 1024, 1042, 1063, 1072, 1025, 1133, 1063, 1024, 1072, 1133, 1063, 1133, 1063, 1133, 1073, 1133, 1090, 1024, 1112, 1111, 1112, 1033, 1042, 1063, 1024, 1072, 1071, 1133, 1042, 1063, 1090, 1112, 1111, 1063, 1133, 1072, 1071, 1090, 1112, 1025, 1072, 1133, 1132, 1112, 1090, 1072, 1052, 1063, 1132, 1072, 1090, 1132, 1133, 1132, 1024, 1042, 1063, 1090, 1024, 1101, 1100, 1090, 1072, 1063, 1042, 1043, 1101, 1081, 1090, 1090, 1043, 1024, 1052, 1072, 1071, 1072, 1133, 1132, 1133, 1063, 1133, 1133, 1073, 1134, 1073, 1133, 1090, 1024, 1112]",392,"[1101, 1043, 1034, 1032, 1063, 1123, 1089, 1133, 1042, 1111, 1025, 1112, 1081, 1033, 1100, 1122, 1062, 1024, 1071, 1073, 1023, 1090, 1064, 1132, 1134, 1052, 1072, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",27
7,LoveIsALosingGame.mid,"[1090, 1090, 1025, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,"[1090, 1025, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
8,AllIEverNeedIsYou.mid,"[1064, 566, 1065, 1133, 1092, 566, 771, 1065, 566, 1135, 1133, 1092, 1091, 566, 434, 1092, 1043, 434, 1044, 372, 1124, 1073, 1074, 1043, 1073, 1025, 951, 1026, 1090, 1065, 1091, 1021, 951, 1074, 1090, 1065, 593, 1035, 1064, 512, 1133, 512, 72, 512, 1074, 1133, 1091, 659, 647, 934, 1044, 1113, 1065, 1112, 1092, 659, 0, 1026, 1113, 1134, 1064, 566, 1133, 1124, 584, 1026, 1025, 1065, 593, 1090, 593, 1073, 38, 1025, 1083, 1102, 1074, 1133, 1065, 647, 499, 1074, 622, 0, 1134, 566, 1065, 1133, 566, 1064, 1065, 566, 1044, 1133, 1035, 566, 1064, 566, 1065, 1133]",449,"[1065, 72, 1125, 1026, 829, 236, 786, 162, 83, 1074, 1102, 510, 771, 432, 1135, 511, 1083, 1043, 622, 434, 568, 1114, 593, 1124, 1025, 1044, 1066, 659, 952, 823, 1112, 1035, 246, 543, 23, 38, 1091, 1045, 951, 647, 78, 405, 584, 1034, 1133, 1027, 401, 1113, 1090, 1064, 1021, 934, 499, 164, 665, 0, 1092, 512, 933, 372, 1073, 566, 1134, 1036, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",64
9,Adventage.mid,"[1034, 1124, 1035, 1044, 1074, 1092, 1135, 1125, 1036, 1045, 1075, 1093, 1136, 1126, 1037, 1046, 1076, 1094, 1137, 1127, 1038, 1047, 1077, 1095, 1138, 596, 1133, 1036, 1135, 1083, 1074, 1134, 952, 72, 192, 1091, 1064, 799, 81, 773, 805, 1025, 1034, 1026, 160, 1036, 1124, 329, 1133, 596, 1036, 1066, 1036, 1066, 1036, 1066, 1036, 1066, 1036, 1101, 1027, 1026, 1018, 1083, 853, 71, 81, 1125, 60, 1135, 1066, 508, 792, 1034, 1124, 1035, 1044, 1092, 1074, 1135, 1125, 1036, 1045, 1093, 432, 1124, 1054, 1034, 1115, 1136, 1115, 1066, 1115, 1084, 1054, 1114, 1082, 1092, 1066, 771]",1574,"[671, 1101, 1065, 461, 1026, 780, 1038, 554, 829, 1007, 621, 471, 208, 717, 189, 236, 162, 83, 786, 770, 510, 54, 81, 424, 1018, 464, 432, 799, 1077, 1046, 1056, 1072, 163, 296, 60, 1083, 6, 434, 278, 750, 291, 593, 1114, 483, 1124, 1044, 1066, 823, 513, 808, 1035, 877, 301, 650, 329, 794, 67, 1045, 200, 628, 857, 647, 660, 584, 491, 1034, 192, 11, 1133, 508, 1054, 401, 1105, 1057, 1064, 934, 1075, 152, 185, 299, 1053, 477, 159, 594, 1002, 805, 164, 1093, 668, 651, 332, 512, 864, 1047, 326, 1116, 136, 772, 1138, 1076]",247
10,Avalon.mid,"[1133, 1135, 1064, 72, 1027, 1073, 1114, 1074, 1114, 1036, 1091, 1135, 1092, 1135, 1066, 1113, 1027, 1114, 1066, 1027, 1036, 1091, 1135, 1027, 1092, 1135, 1135, 1073, 1114, 1074, 1114, 1064, 1092, 771, 1065, 1092, 1034, 1074, 1035, 1074, 1114, 1025, 1065, 1026, 1065, 1123, 1044, 1124, 1044, 1133, 1035, 1134, 1035, 1083, 1101, 1074, 1035, 1102, 1035, 1065, 1112, 1026, 1113, 1026, 1133, 1026, 1113, 1026, 1123, 1044, 1113, 1044, 1066, 1025, 1065, 1113, 1065, 1092, 1133, 1035, 1091, 1035, 1114, 1025, 1065, 1113, 1065, 1135, 1034, 1074, 1134, 1074, 1114, 1025, 1065, 1113, 1135, 1114, 1065, 1092]",659,"[1101, 1065, 72, 623, 1034, 461, 1125, 1026, 47, 475, 1103, 1133, 621, 297, 595, 320, 187, 1027, 236, 1054, 1104, 786, 1074, 1102, 1113, 771, 1064, 1115, 1075, 654, 1135, 1093, 1083, 636, 1043, 773, 434, 1123, 989, 1114, 1092, 1082, 1124, 1025, 1044, 1066, 1112, 1084, 823, 1035, 1055, 596, 23, 1073, 1091, 1045, 1126, 1136, 1028, 1134, 243, 1036, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",62
